task_id,our_score,our_agent_usd,our_tools,our_msgs,nexus_q,pub_score,pub_agent_usd,pub_tools,pub_msgs,our_user_usd,pub_user_usd
task_001,1,0.011038,2,8,1,1,0.304438,18,34,0.009011,0.011114
task_002,1,0.009746,2,8,1,1,0.594472,22,44,0.006124,0.008549
task_003,1,0.018727,2,8,1,1,0.481434,24,39,0.006979,0.021368
task_004,1,0.067118,6,20,3,0,0.172749,10,28,0.009165,0.016364
task_005,1,0.092587,8,30,2,1,0.325417,14,44,0.011336,0.024606
task_006,1,0.013325,2,8,1,1,0.305534,12,26,0.008172,0.008595
task_007,1,0.016881,2,8,1,0,1.386368,55,112,0.008109,0.012496
task_008,1,0.185844,10,40,9,0,0.7286,31,74,0.033746,0.049324
task_010,1,0.027438,6,18,1,0,0.401635,13,35,0.014156,0.01982
task_012,1,0.048023,4,18,3,1,0.702721,51,81,0.00987,0.014111
task_014,1,0.032392,3,12,2,1,0.352536,23,51,0.007055,0.008645
task_015,0,0.033972,4,14,2,0,0.335352,20,38,0.010241,0.012556
task_016,1,0.06814,9,26,3,1,0.242616,14,34,0.013118,0.024712
task_017,0,0.21678,10,38,6,0,1.102446,36,86,0.03352,0.039554
task_018,0,0.232858,21,49,8,0,0.612581,25,54,0.02596,0.03175
task_019,1,0.179544,13,33,3,1,1.345082,44,84,0.023828,0.037849
task_020,1,0.265721,15,43,5,0,0.753321,30,64,0.025267,0.034562
task_021,0,0.131,11,26,4,1,0.467374,17,43,0.012865,0.025612
task_022,0,0.447739,12,32,5,0,1.69686,52,111,0.013998,0.049813
task_023,1,0.10838,7,20,1,1,0.889799,24,59,0.014056,0.019989
task_024,1,0.040707,3,14,2,0,0.581831,22,39,0.013385,0.018886
task_025,1,0.23635,11,33,9,1,0.743746,25,40,0.023368,0.016778
task_026,0,0.088919,5,18,4,0,0.910881,29,63,0.010024,0.021115
task_027,0,0.373348,21,57,8,0,2.471826,62,128,0.024458,0.055932
