task_id,our_score,our_agent_usd,our_tools,our_msgs,nexus_q,pub_score,pub_agent_usd,pub_tools,pub_msgs
task_001,1,0.047472,2,8,1,1,1.138741,14,32
task_002,1,0.036209,2,8,1,1,1.782057,19,42
task_003,0,0.062219,2,8,1,1,1.726546,16,36
task_004,1,0.124908,3,14,1,1,0.33952,6,21
task_005,1,0.260629,7,28,2,1,0.399468,9,33
task_006,1,0.056274,2,8,1,1,1.123315,11,26
task_007,1,0.059337,2,8,1,0,1.223547,12,30
task_008,1,0.215703,4,20,3,1,2.517221,26,74
task_010,1,0.285476,8,23,3,1,0.343785,11,29
task_012,1,0.05231,2,10,1,0,1.018771,11,26
task_014,0,0.041211,1,6,1,1,0.776293,14,29
task_015,0,0.101593,5,18,3,0,0.338403,8,24
task_016,0,0.336848,10,34,6,1,0.929098,15,40
task_017,1,0.206357,10,26,2,1,0.491529,16,32
task_018,0,0.234651,12,28,2,1,0.713947,27,50
task_019,0,0.210518,12,29,1,0,1.303205,30,54
task_020,0,0.262872,14,32,3,0,1.36927,29,51
task_021,1,0.370115,12,29,4,1,0.444204,15,37
task_022,0,0.561182,15,37,2,0,1.803773,31,53
task_023,0,0.37156,9,23,1,1,0.952892,23,45
task_024,1,0.11615,2,10,1,0,1.937159,18,42
task_025,0,0.071886,2,8,1,1,1.114291,13,34
task_026,0,0.363421,14,32,3,0,1.0289,20,45
task_027,0,0.584634,24,59,6,0,1.545454,27,62
task_028,0,0.408653,13,40,2,0,1.810501,31,69
task_029,1,0.668652,18,44,6,0,3.683835,50,108
task_031,1,0.31857,13,32,2,1,1.026257,16,37
task_032,1,0.190473,7,26,2,0,0.27755,4,21
task_033,1,0.156031,6,20,1,0,0.337613,9,22
task_034,1,0.076576,3,12,1,0,0.439082,12,40
task_035,1,0.09185,4,12,1,1,0.378423,10,23
task_036,1,0.235515,8,25,1,1,0.422225,11,28
task_037,1,0.576967,21,55,5,0,1.416137,26,62
task_038,0,0.541625,18,46,5,0,2.71996,31,70
task_039,0,0.95637,23,56,3,0,2.526473,36,82
task_040,1,0.539694,21,50,2,1,1.942192,31,59
task_041,0,0.809325,32,67,3,0,1.369035,40,68
task_043,1,0.51045,22,52,4,1,1.501698,30,61
task_044,1,0.523251,16,37,3,1,2.049174,36,71
task_045,1,0.640019,24,59,6,0,0.969985,22,47
task_046,0,0.34122,16,37,3,0,0.960501,21,46
task_047,1,0.801125,24,61,6,1,1.466385,29,62
task_048,1,0.911639,36,78,6,1,2.811307,46,116
task_049,1,0.963775,36,92,5,0,2.848212,47,106
task_050,0,0.263551,14,32,2,1,1.631592,24,48
task_051,1,0.624028,31,63,3,1,1.439131,37,77
task_052,1,0.66048,24,64,8,1,2.60902,40,79
task_053,0,0.701673,25,48,4,0,1.256156,31,52
task_054,0,0.601823,22,52,3,0,1.812332,28,58
task_055,1,0.922439,21,62,9,1,4.373844,37,98
task_056,1,0.711811,17,52,6,1,3.405785,30,76
task_057,1,0.862584,20,57,7,1,3.613685,37,82
task_058,1,0.568936,14,39,6,0,2.366569,32,72
task_059,1,0.38624,13,35,5,1,2.875048,20,47
task_060,1,0.54601,18,46,6,0,2.298343,39,71
task_061,1,0.713076,24,59,6,0,2.874904,44,82
task_062,0,0.700375,21,52,6,0,3.269304,37,89
task_063,0,0.604166,17,45,7,0,7.014961,53,118
task_064,1,0.718958,17,39,9,0,4.170943,37,84
task_065,0,0.654664,16,40,5,0,4.298053,35,82
task_066,0,0.310777,15,33,3,0,3.486792,32,71
task_067,0,0.396089,14,35,4,0,3.513144,41,90
task_068,0,0.76759,21,48,10,0,6.135235,51,116
task_069,0,0.479538,14,37,3,0,6.153562,71,112
task_070,0,0.340638,10,30,3,0,2.001267,20,51
task_071,0,0.467955,12,34,4,1,3.229824,33,75
task_072,0,0.652463,16,38,5,0,0.80947,15,38
task_073,0,0.839704,17,40,4,0,1.439466,26,48
task_074,0,0.835455,16,36,1,0,2.11722,30,56
task_075,0,0.523583,13,34,6,0,2.296243,23,56
task_076,1,0.229292,7,20,2,0,0.646045,15,33
task_077,0,0.831954,30,72,5,0,3.563565,53,102
task_078,0,0.739812,28,61,8,0,1.82528,32,61
task_079,0,0.768957,31,67,4,0,1.818293,40,71
task_080,0,0.129661,3,12,2,0,3.902574,60,113
task_081,0,1.410879,50,122,9,0,0.626544,10,22
task_082,0,1.161366,32,65,7,0,2.352442,31,68
task_083,0,0.782732,26,50,6,0,3.729045,37,69
task_084,0,0.833173,27,55,8,0,2.728714,34,69
task_085,0,0.915947,25,64,5,0,1.813987,29,72
task_086,0,1.230715,25,55,7,0,2.468737,32,78
task_087,0,0.276926,16,34,1,0,0.925268,23,42
task_088,0,1.194194,30,83,8,0,3.940564,46,96
task_089,1,0.57487,22,51,5,1,3.010541,34,65
task_090,0,0.248462,12,27,2,1,3.798373,39,76
task_091,0,1.760855,38,77,10,0,6.109787,56,124
task_092,0,0.757001,22,55,6,0,3.050897,43,85
task_093,1,0.265093,13,31,2,1,2.010472,31,58
task_094,1,0.258412,13,31,2,0,2.50461,34,62
task_095,0,0.337054,13,33,2,0,2.793831,28,64
task_096,1,0.36907,17,37,2,0,2.629528,29,63
task_097,0,0.630072,25,44,4,0,4.089262,60,94
task_098,0,0.049881,2,8,1,0,1.488612,20,44
task_099,1,0.218414,9,22,2,1,1.684557,18,35
task_100,1,0.23613,9,24,2,1,1.083727,24,54
task_101,0,0.407808,11,29,3,0,2.122493,29,64
task_102,0,0.574075,14,31,4,0,1.91576,25,55
